objectId,ra,dec,gmag,rmag,maggmean,magrmean,g_minus_r,clr_mean,dmdt_g,dmdt_r,distpsnr1,sgmag1,brightening_g,brightening_r,sgscore1,last_alert,classification,classificationReliability,catalogue_table_name,separationArcsec,physical_separation_kpc,direct_distance,distance,z,photoZ,major_axis_arcsec,tns_prefix,association_type,description
ZTF22abkfhua,350.84901615,10.685528099999999,20.2165,,20.2048,,,,-0.00179293,,0.337301,19.1836,1.0328998565673828,,0.156595,10.175543948076665,SN,2,SDSS/2MASS/PS1,8.41,0.0,0.0,0.0,0.0,0.05,0.0,AT,SN,"The transient is possibly associated with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237678907852325099"">SDSS J232323.37+104101.7</a></em>; a J=13.19 mag galaxy found in the SDSS/2MASS/PS1 catalogues. Its located 6.30"" N, 5.81"" E from the galaxy centre."
ZTF18adqxxqj,256.42717658000004,31.5447129,,19.9235,,20.3036,,,,,0.159996,20.1512,,0.39010047912597656,0.952417,20.31572914775461,CV,1,SDSS/DOWNES/PS1,0.18,0.0,0.0,0.0,0.0,0.0,0.0,AT,CV,"The transient is synonymous with <em><a href=""http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?id=1237655473436164619"">SDSS J170542.53+313240.7</a></em>; an r=19.67 mag cv found in the SDSS/DOWNES/PS1 catalogues. Its located 0.2"" from the cv core."
ZTF18abmjhxx,337.46360665555557,40.123838633333335,19.8837,19.5844,19.8837,19.87,,0.013698577880859375,,,0.204769,20.0375,-0.15380096435546875,-0.2222003936767578,0.986577,8.14134254772216,VS,1,PS1,0.32,0.0,0.0,0.0,0.0,0.0,3.7,AT,VS,"The transient is synonymous with <em>156143374637289283</em>; an r=19.79 mag stellar source found in the PS1 catalogue. Its located 0.3"" from the stellar source core."
ZTF18admdslj,337.46360892999996,40.123848540000004,19.8837,19.4286,19.8837,19.8217,,0.062000274658203125,,,0.186259,20.0375,-0.15380096435546875,-0.37800025939941406,0.986577,4.177534747868776,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,3.7,AT,VS,"The transient is synonymous with <em>156143374637289283</em>; an r=19.79 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF19aaprgqb,331.2743215058823,37.73484363529411,19.0322,18.5052,18.8961,18.5368,0.526995,0.3592987060546875,0.1772,0.09397,0.126462,19.215,-0.18280029296875,-0.6743011474609375,0.990708,4.296203747857362,VS,1,PS1,0.05,0.0,0.0,0.0,0.0,0.0,4.24,AT,VS,"The transient is synonymous with <em>153283312743882483</em>; an r=19.43 mag stellar source found in the PS1 catalogue. Its located 0.0"" from the stellar source core."
ZTF22abfcail,286.75524382000003,-13.077466699999999,20.1126,19.2387,20.1126,19.3816,0.744301,0.7310009002685547,,0.0131431,0.340611,18.3232,1.7894001007080078,2.0104007720947266,0.164208,10.301018547732383,VS,2,GAIA,2.39,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is possibly associated with <em>4197783013708732544</em>; a G=19.74 mag stellar source found in the GAIA catalogue. Its located 1.53"" S, 1.83"" W from the stellar source centre."
ZTF18abpdmeh,352.69813417307694,60.5884268923077,16.0292,14.3469,16.7587,15.1748,1.68232,1.5838994979858398,-0.132387,0.113754,0.408595,14.0442,1.984999656677246,1.0608997344970703,0.9675,4.063726847991347,VS,1,GSC/GAIA/PS1,0.41,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>N19M015159</em>; a V=13.44 mag stellar source found in the GSC/GAIA/PS1 catalogues. Its located 0.4"" from the stellar source core."
ZTF19adaobav,59.6254337,-15.9075973,,19.2143,,19.2143,,,,,0.76335,18.0943,,2.0279998779296875,0.252595,9.068263847846538,VS,2,GAIA,1.38,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is possibly associated with <em>5109500525062198528</em>; a G=18.03 mag stellar source found in the GAIA catalogue. Its located 1.36"" N, 0.26"" W from the stellar source centre."
ZTF18abcjtql,324.99557085000004,58.09753945,19.3752,18.1034,19.1489,18.3615,1.23,0.7873992919921875,,0.0634521,0.0375352,18.9239,0.45129966735839844,0.43579864501953125,0.87925,13.268657447770238,VS,1,PS1,0.22,0.0,0.0,0.0,0.0,0.0,4.64,AT,VS,"The transient is synonymous with <em>177713249955217729</em>; an r=17.57 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abmarba,320.28718315833333,30.57063418333333,16.8086,18.1235,16.5888,17.8089,-0.6385,-1.2201004028320312,-0.0589448,,0.12145,20.6548,-3.846200942993164,-2.20159912109375,0.890167,4.273495347704738,VS,1,PS1,0.09,0.0,0.0,0.0,0.0,0.0,4.83,AT,VS,"The transient is synonymous with <em>144683202873585462</em>; an r=20.53 mag stellar source found in the PS1 catalogue. Its located 0.1"" from the stellar source core."
ZTF18admatrp,320.28718449090917,30.57063044545454,16.8086,18.1638,16.5888,17.7574,-0.6385,-1.168600082397461,-0.0589448,,0.0764501,20.6548,-3.846200942993164,-2.1613006591796875,0.890167,8.159502347931266,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.83,AT,VS,"The transient is synonymous with <em>144683202873585462</em>; an r=20.53 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF22aawmlhl,331.0187613125,58.96164745,,19.837,,19.9324,,,,0.0358786,0.186722,20.7379,,0.4920997619628906,0.997917,7.15032404800877,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.62,AT,VS,"The transient is synonymous with <em>178753310185224528</em>; an r=19.40 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abvwpum,314.88719938124996,-9.27114855,16.4806,16.6289,17.1057,16.9018,-0.148279,0.20389938354492188,,,0.170284,16.647,-0.1663990020751953,0.0829010009765625,0.976518,4.238912047818303,VS,1,GSC/PS1,0.09,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>SC36026127</em>; a B=18.69 mag stellar source found in the GSC/PS1 catalogues. Its located 0.1"" from the stellar source core."
ZTF18acaqjda,308.1035837375,60.476837849999995,19.5761,19.4474,17.7398,17.9372,0.128683,-0.1974010467529297,-0.383708,-0.494521,0.116889,21.5952,-2.0191001892089844,-1.0694007873535156,0.901208,21.142523148097098,VS,1,PS1,0.25,0.0,0.0,0.0,0.0,0.0,4.0,AT,VS,"The transient is synonymous with <em>180573081035653013</em>; an r=20.60 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abusrrw,288.409145425,-18.4096796625,13.5638,,13.5584,,,,,,0.140645,17.5284,-3.9646005630493164,,0.5,4.377905047964305,VS,1,GSC/GAIA,0.17,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>SA8K015471</em>; a V=14.51 mag stellar source found in the GSC/GAIA catalogues. Its located 0.2"" from the stellar source core."
ZTF18abwwkzt,297.83658671111107,46.53990373333333,20.2616,20.0392,20.0863,19.9597,0.0373993,0.1266002655029297,-0.0871313,-0.00466154,0.881486,18.6731,1.5885009765625,1.6094989776611328,0.938375,10.186203747987747,VS,1,PS1,0.85,0.0,0.0,0.0,0.0,0.0,4.12,AT,VS,"The transient is synonymous with <em>163842978364908550</em>; an r=18.41 mag stellar source found in the PS1 catalogue. Its located 0.9"" from the stellar source core."
ZTF20acbepdp,60.0280301,-18.7058413,,20.043,,20.043,,,,,1.5537,17.8792,,2.403799057006836,0.726577,9.068263847846538,VS,1,GSC,1.38,0.0,0.0,0.0,0.0,0.0,0.0,AT,VS,"The transient is synonymous with <em>S1U3007080</em>; a B=18.22 mag stellar source found in the GSC catalogue. Its located 1.4"" from the stellar source core."
ZTF18actwcev,296.0542662,-5.0370041,18.2607,,18.2607,,,,,,0.129392,21.4511,-3.190399169921875,,0.870357,35.31899304781109,VS,1,PS1,0.13,0.0,0.0,0.0,0.0,0.0,4.46,AT,VS,"The transient is synonymous with <em>101952960542395996</em>; an r=21.14 mag stellar source found in the PS1 catalogue. Its located 0.1"" from the stellar source core."
ZTF20abhftlr,295.69279245,-8.297805700000001,17.0005,20.6608,17.0005,20.6608,,-3.6603012084960938,,,0.14633,20.5717,-3.571199417114258,-0.15289878845214844,0.956208,20.181770848110318,VS,1,PS1,0.15,0.0,0.0,0.0,0.0,0.0,4.25,AT,VS,"The transient is synonymous with <em>98042956928093066</em>; an r=20.93 mag stellar source found in the PS1 catalogue. Its located 0.1"" from the stellar source core."
ZTF18abhdwng,286.136985875,-10.417801475000001,19.2238,19.0874,19.2695,19.1784,0.136356,0.09110069274902344,0.00366711,0.0073291,0.111995,20.5447,-1.3208999633789062,-1.0935001373291016,0.86075,17.21590274805203,VS,1,PS1,0.17,0.0,0.0,0.0,0.0,0.0,4.4,AT,VS,"The transient is synonymous with <em>95492861369839055</em>; an r=20.70 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
ZTF18abqeyky,280.3580293125,-7.2009221,19.0601,18.9713,19.2348,18.3757,,0.859100341796875,,,0.212085,18.7379,0.3222007751464844,1.4088001251220703,0.916958,17.320844947826117,VS,1,PS1,0.21,0.0,0.0,0.0,0.0,0.0,4.55,AT,VS,"The transient is synonymous with <em>99352803580539283</em>; an r=17.42 mag stellar source found in the PS1 catalogue. Its located 0.2"" from the stellar source core."
