Name,AUID,Coords,Const,Type,Period,Mag,ra,dec
Gaia22ayj,000-BPH-739,08 25 26.53 -22 32 12.4,Pup,UG/IBWD+E,0.00649910257,16.2 - 20.5 r,126.36054166666665,-22.53677777777778
Gaia22cej,000-BPK-220,08 10 54.20 -42 15 25.0,Pup,UG,--,18.4 - 21.2 G,122.72583333333331,-42.25694444444444
Gaia22dgt,000-BPK-882,07 36 16.07 -33 20 52.4,Pup,UG,--,18.0 - 20.8 G,114.06695833333332,-33.34788888888889
Gaia22dyj,--,08 15 04.38 -19 22 10.0,Pup,UG:,--,18.5 - <23 r G,123.76824999999998,-19.369444444444444
Gaia22eex,000-BPL-638,08 06 40.49 -19 32 13.7,Pup,UG:,--,18.6 - <23 r G,121.66870833333331,-19.53713888888889
Gaia22ehc,000-BPM-868,07 31 18.82 -36 19 46.0,Pup,UG,--,18.5 - 23: r G,112.82841666666666,-36.32944444444445
Gaia23aak,000-BPN-238,08 25 35.42 -17 28 31.8,Pup,UG,--,15.6 - 22.5 g,126.3975833333333,-17.475499999999997
Gaia23adq,000-BPP-065,08 12 48.67 -27 04 13.8,Pup,UG+E:,--,17.8 - 19.8 G,123.20279166666664,-27.0705
Gaia23bbc,000-BPN-977,08 20 36.65 -18 31 38.3,Pup,UGSS:,--,14.4 - 20.0 g,125.15270833333332,-18.527305555555554
Gaia23bho,000-BPP-601,08 07 40.79 -11 28 01.0,Pup,UG,--,18.6 - 22.0 r G,121.91995833333334,-11.466944444444444
Gaia23bhw,000-BPP-382,07 35 43.61 -23 11 27.7,Pup,UG,--,17.8 - 21.5 G,113.93170833333332,-23.191027777777776
GDS_J0730171-223322,--,07 30 17.02 -22 33 22.3,Pup,UG,--,15.7 - 18.1: V,112.57091666666666,-22.556194444444444
GDS_J0732519-210541,--,07 32 51.99 -21 05 41.5,Pup,NL/VY,--,14.2 - <16.6 V,113.21662499999998,-21.09486111111111
GDS_J0735459-180942,--,07 35 45.98 -18 09 42.8,Pup,UGZ,--,15.2 - 17.6: V,113.94158333333331,-18.16188888888889
MASTER OT J061759.04-454843.6,000-BLP-937,06 17 59.04 -45 48 43.6,Pup,UG,--,15.3 V - <20.1 CR,94.49599999999998,-45.81211111111111
MASTER OT J065559.44-502253.6,000-BNT-931,06 55 59.44 -50 22 53.6,Pup,UG:,--,17.8 - <22 CR,103.99766666666666,-50.38155555555556
MASTER OT J070435.24-403441.1,000-BLS-774,07 04 35.24 -40 34 41.1,Pup,UG,--,15.8 - <22 CR,106.14683333333332,-40.57808333333334
MASTER OT J070559.93-381358.7,000-BNG-501,07 06 00.07 -38 13 59.0,Pup,UG,--,15.1 - 20.3 V,106.50029166666666,-38.23305555555556
MASTER OT J071056.91-421526.0,000-BNP-974,07 10 56.91 -42 15 26.0,Pup,UG:,--,13.9 - <22 r CR,107.73712499999999,-42.257222222222225
MASTER OT J071942.54-431553.9,000-BNS-826,07 19 42.57 -43 15 53.8,Pup,UG:,--,17.1 - <22 CR,109.92737499999998,-43.264944444444446
MASTER OT J073051.19-191608.9,000-BMX-363,07 30 51.20 -19 16 09.1,Pup,UG,--,15.5 - 21.0 V,112.71333333333332,-19.269194444444445
MASTER OT J073110.47-462722.5,000-BLP-395,07 31 10.47 -46 27 22.5,Pup,UG:,--,18.7 - <19.5 CR,112.79362499999998,-46.456250000000004
MASTER OT J073917.36-415646.7,000-BNJ-530,07 39 17.44 -41 56 47.6,Pup,UG,--,18.2 - <22 CR,114.82266666666665,-41.946555555555555
MASTER OT J073936.05-351848.8,000-BLV-338,07 39 36.05 -35 18 48.8,Pup,UG,--,18.2 - <19.8 CR,114.90020833333332,-35.31355555555555
MASTER OT J075234.24-495613.1,000-BNK-785,07 52 34.24 -49 56 13.1,Pup,UG:,--,18.4 - <22 CR,118.14266666666666,-49.93697222222222
MASTER OT J081331.95-232924.7,000-BLS-937,08 13 31.92 -23 29 24.4,Pup,UG,--,16.7 - 20.9 V,123.38299999999998,-23.490111111111112
MGAB-V202,000-BNF-174,08 18 08.73 -42 34 16.8,Pup,NL/VY:,--,13.8 - 17.2 R V,124.536375,-42.571333333333335
MGAB-V292,000-BNG-551,07 46 06.86 -21 32 35.1,Pup,NL/VY,--,16.4 - 21.0 g,116.52858333333332,-21.543083333333335
MGAB-V3391,--,07 34 52.92 -13 48 41.8,Pup,CV,--,17.7 - 20.4 g,113.72049999999999,-13.811611111111112
MGAB-V346,--,07 58 07.25 -18 43 37.0,Pup,UG,--,16.4 - 20.7 g,119.53020833333332,-18.72694444444444
MGAB-V3543,--,07 45 28.96 -13 04 48.7,Pup,UG,--,17.9 - <20.6 r,116.37066666666665,-13.080194444444444
MGAB-V3544,--,07 46 00.94 -12 58 51.3,Pup,UG,--,17.6 - <20.7 r,116.50391666666665,-12.980916666666667
MGAB-V3547,--,08 01 36.48 -24 41 35.1,Pup,UG,--,18.5 - 21.3 r,120.402,-24.693083333333334
MGAB-V3552,--,08 22 38.07 -19 40 05.3,Pup,UG,--,18.7 - <22.0 r,125.65862499999999,-19.66813888888889
NSV 3326,000-BPP-272,06 58 52.60 -46 26 01.1,Pup,UGSU:,--,13.1 - 18.3 V,104.71916666666665,-46.433638888888886
NSV 3846,000-BFT-918,07 59 01.00 -43 49 06.0,Pup,N:,--,3.0 V - 20.0 p,119.75416666666665,-43.818333333333335
PBC J0746.2-1610,000-BPM-308,07 46 17.11 -16 11 27.6,Pup,NL:,0.39101,14.5 V (0.34)BG38,116.57129166666665,-16.191
PBC J0820.4-2801,000-BLV-503,08 20 34.10 -28 04 58.7,Pup,DQ:,0.0329,16.2 - 17.8 V,125.14208333333332,-28.08297222222222
Romanov V22,000-BMY-242,07 57 06.21 -16 07 07.1,Pup,UG,--,16.3 - 20.7 V,119.275875,-16.11863888888889
SSS 101212:071348-484511,--,07 13 48.30 -48 45 11.1,Pup,UG,--,17.8 - <20.4 CV,108.45125,-48.753083333333336
SSS 110125:073918-413635,--,07 39 17.79 -41 36 35.2,Pup,UG:,--,17.0 - <19 CV,114.82412499999998,-41.60977777777778
SSS 111118:063505-435950,--,06 35 05.27 -43 59 50.5,Pup,UG,--,16.4 - <22 CV,98.77195833333332,-43.99736111111111
SSS 111223:065129-410919,000-BKT-947,06 51 28.52 -41 09 18.8,Pup,UG,--,14.2 - 18.5 CV,102.86883333333333,-41.15522222222222
SSS 120318:065146-421325,--,06 51 45.91 -42 13 24.8,Pup,UG,--,16.1 - 21.7 B CV,102.94129166666666,-42.223555555555556
SSS 120318:065722-421237,--,06 57 22.05 -42 12 37.3,Pup,UG,--,16.5 - <21.9 CV,104.34187499999999,-42.21036111111111
SSS 120420:064352-415251,--,06 43 51.76 -41 52 51.5,Pup,UG,--,16.3 - 21.0 CV,100.96566666666666,-41.88097222222222
SSS 120420:064408-430018,--,06 44 07.55 -43 00 18.2,Pup,UG,--,17.9 - 21.0 CV,101.03145833333332,-43.00505555555556
SSS 130103:082255-191734,000-BLQ-320,08 22 55.08 -19 17 34.2,Pup,UG,--,17.9 - 21.5 CV,125.72949999999999,-19.292833333333334
SSS 130304:082627-192957,000-BKY-428,08 26 27.48 -19 29 57.2,Pup,UG,--,15.5 - 21.0 CV,126.61449999999998,-19.499222222222222
SSS 130316:064016-361011,000-BLQ-306,06 40 15.82 -36 10 10.6,Pup,UG:,--,16.6 - <21 CV,100.06591666666665,-36.16961111111111
SSS 130316:064606-353716,--,06 46 06.03 -35 37 15.6,Pup,UG,--,16.0 - 21.0 CV,101.52512499999999,-35.621
SSS 130317:065348-394424,000-BLQ-304,06 53 48.12 -39 44 24.3,Pup,UG:,--,18.0 - <21 CV,103.45049999999998,-39.74008333333333
SSS 130329:064610-410416,000-BMV-111,06 46 10.27 -41 04 15.4,Pup,UG,--,14.8 - 17.5 CV,101.54279166666666,-41.07094444444445
SSS 130329:070601-503732,--,07 06 00.83 -50 37 32.0,Pup,UG,--,17.8 - <20.4 CV,106.50345833333331,-50.62555555555556
SSS 130418:063932-400836,--,06 39 32.03 -40 08 35.7,Pup,UG,--,16.2 - <20.7 CV,99.88345833333332,-40.14325
Swift J0749.7-3218,--,07 49 31.99 -32 15 37.1,Pup,CV,--,18.5 - ? V,117.38329166666665,-32.260305555555554
TCP J06565514-4701180,000-BNW-836,06 56 55.10 -47 01 18.1,Pup,UGWZ,--,14.0 - <22 g,104.22958333333332,-47.02169444444444
TCP J07105122-3704154,000-BNN-149,07 10 51.22 -37 04 15.4,Pup,UG:,--,17.5 - <22 CR,107.71341666666666,-37.07094444444445
TCP J07552804-1706513,000-BNL-409,07 55 28.00 -17 06 51.3,Pup,UG,--,15.9: - 21.5 g,118.86666666666666,-17.114250000000002
TCP J08144930-2215000,000-BNY-374,08 14 49.21 -22 15 00.7,Pup,UGSU,--,14.3 - 21.6 g,123.70504166666663,-22.250194444444446
ZTF17aaagsat,--,07 32 02.26 -13 05 57.4,Pup,UG,--,17.0 - 21.1 r,113.00941666666665,-13.099277777777779
ZTF18acuxtzu,--,07 32 31.63 -16 00 03.7,Pup,UG,--,16.6 - 19.4 r,113.13179166666666,-16.00102777777778
ZTF18acwwavu,--,07 40 09.51 -13 23 54.9,Pup,UG,--,15.7 - 19.7 g,115.03962499999999,-13.398583333333333
ZTF18adaihdy,--,07 38 19.07 -20 45 56.3,Pup,UGZ/IW,--,17.8 - 20.4 r,114.57945833333332,-20.76563888888889
ZTF18adauaqf,--,07 34 12.15 -27 19 33.6,Pup,UG,--,16.5 - 20.7 g,113.55062499999998,-27.326
ZTF18adaucru,--,07 41 34.94 -24 46 45.2,Pup,UG,--,16.9 - 21.0 g,115.39558333333332,-24.77922222222222
ZTF19aaakvgv,--,08 09 47.01 -27 50 12.0,Pup,UG,--,16.7 - 19.5 g,122.44587499999999,-27.836666666666666
ZTF19aaerdga,--,07 54 44.59 -14 15 07.2,Pup,UG,--,16.6 - 20.9 g,118.68579166666666,-14.252
ZTF19aagmurd,--,08 16 11.66 -23 06 37.7,Pup,UG,--,16.7 - 19.0 r,124.04858333333334,-23.110472222222224
ZTF19aakpwfl,--,08 13 11.29 -25 42 04.8,Pup,UGZ:,--,17.0 - 18.7 g,123.29704166666666,-25.701333333333334
ZTF19aalivui,--,08 01 01.48 -13 47 39.6,Pup,UGZ/IW,--,16.5 - 18.9 g,120.25616666666666,-13.794333333333332
ZTF19aaljnht,--,08 15 04.04 -25 42 24.0,Pup,UG,--,16.1 - 19.2 g,123.76683333333331,-25.706666666666667
ZTF19aamtdws,000-BPK-934,07 59 28.17 -14 52 12.5,Pup,UG,--,16.6 - 22.4 g,119.867375,-14.870138888888889
ZTF19acbvswp,--,07 41 26.38 -11 20 15.3,Pup,NL+E,--,18.4 - 21.5 g,115.35991666666665,-11.337583333333335
ZTF19acdacji,--,07 56 43.62 -14 16 46.9,Pup,UG,--,16.9 - 21.6 g,119.18175,-14.279694444444445
ZTF21aagogqj,000-BNW-082,08 23 06.27 -16 38 52.0,Pup,UG,--,18.8 - <22: g,125.77612499999996,-16.647777777777776
[PK2008] J073418.56-170626.5,--,07 34 18.56 -17 06 26.5,Pup,CV+E,0.13272604,16.7 - 20.5 R,113.57733333333331,-17.107361111111114
[PK2008] J075648.83-124653.5,--,07 56 48.85 -12 46 54.0,Pup,UG,0.145,15.0 - 18.2 g,119.20354166666665,-12.781666666666668
T Pyx,000-BBQ-228,09 04 41.51 -32 22 47.6,Pyx,NR,0.07622886,6.2 - 16.1 V,136.17295833333333,-32.37988888888889
VZ Pyx,000-BBQ-159,08 59 19.84 -24 28 55.3,Pyx,UGSU,0.07332,11.8 - 16.8 V,134.83266666666665,-24.482027777777777
WX Pyx,000-BCW-933,08 33 05.78 -22 48 31.9,Pyx,DQ,0.2307,16.2 - 17.74 V,128.27408333333332,-22.808861111111113
DT Pyx,000-BJH-177,09 18 58.51 -29 42 37.5,Pyx,UGSU,0.06165,11.6 - 18.9 V,139.74379166666665,-29.710416666666667
1RXS J083842.1-282723,000-BLH-117,08 38 43.36 -28 27 01.4,Pyx,CV,--,18.0 - ? R,129.68066666666667,-28.450388888888888
2MASS J08550742-2118095,000-BMS-316,08 55 07.42 -21 18 09.5,Pyx,UG,--,15.6 - 19.2 CV,133.78091666666663,-21.30263888888889
6dF g0853428-244410,000-BNL-372,08 53 42.78 -24 44 09.7,Pyx,CV,--,17.0 - 18.5 CV,133.42825,-24.736027777777778
ASASSN-14ai,--,09 07 33.55 -30 12 06.3,Pyx,UGSU,--,15.8 - 21.1 B CR,136.88979166666667,-30.20175
ASASSN-15ac,000-BLL-761,09 18 51.15 -29 58 30.3,Pyx,UG,--,15.4 - <17.0 V,139.713125,-29.97508333333333
ASASSN-16dg,000-BLX-019,08 47 04.62 -25 30 01.2,Pyx,UG,--,15.1 - 20.0 g,131.76924999999997,-25.500333333333334
ASASSN-16ee,--,08 35 42.46 -31 21 48.7,Pyx,UG,--,15.2 V - 20.9 B,128.92691666666664,-31.36352777777778
ASASSN-17aw,000-BMD-896,09 18 52.73 -36 38 21.8,Pyx,UG,--,16.5 - 21.6 B V,139.71970833333333,-36.63938888888889
ASASSN-17ck,000-BMF-490,08 30 46.29 -28 58 13.5,Pyx,UG,--,16.5 - 21.5 B V,127.69287499999999,-28.970416666666665
ASASSN-17do,000-BMF-905,08 50 44.64 -35 46 52.7,Pyx,UG,--,16.0 - <21 V,132.68599999999998,-35.781305555555555
ASASSN-17fz,000-BMH-210,09 24 52.36 -35 59 00.2,Pyx,UGWZ,0.05757,14.2 - <22 V,141.21816666666666,-35.98338888888889
ASASSN-17ht,000-BMJ-093,09 26 16.06 -37 13 22.0,Pyx,UG,--,14.9 - 16.9: V,141.56691666666666,-37.22277777777778
ASASSN-17nr,000-BML-599,08 38 33.20 -18 51 25.9,Pyx,UGSU,--,14.6 - 21.4 B V,129.63833333333332,-18.857194444444445
ASASSN-17ov,000-BML-947,09 20 47.73 -34 07 50.8,Pyx,UGSU:,--,13.5 - 19.4 V g,140.198875,-34.13077777777778
ASASSN-18abp,000-BMX-335,08 36 57.56 -22 05 14.9,Pyx,UG,--,16.2 - <22 g,129.23983333333334,-22.08747222222222
ASASSN-18gh,000-BMQ-072,09 09 53.67 -20 57 25.8,Pyx,UG,--,17.5 - 21.9 g,137.47362499999997,-20.957166666666666
ASASSN-18ye,000-BMV-672,08 42 33.12 -23 41 32.2,Pyx,UG,--,16.8 - <22 g,130.63799999999998,-23.69227777777778
ASASSN-19acr,000-BNJ-255,08 37 45.96 -26 50 55.2,Pyx,UG,--,16.8 - 21.8 g,129.4415,-26.848666666666666
ASASSN-19acv,000-BNJ-277,09 17 15.72 -26 35 27.9,Pyx,UG,--,17.1 - 21.8 g,139.31549999999996,-26.591083333333334
ASASSN-19cl,000-BMZ-184,08 35 33.72 -18 31 59.2,Pyx,UGSU:,--,15.5 - 19.1 g,128.8905,-18.53311111111111
ASASSN-19cu,--,08 44 20.43 -29 55 29.8,Pyx,UG,--,16.2 - 20.4 g,131.08512499999998,-29.924944444444446
ASASSN-19dg,--,08 32 45.61 -21 26 50.6,Pyx,UG,--,16.3 - 18.9 g,128.19004166666664,-21.447388888888888
ASASSN-19dm,000-BMZ-604,08 34 41.13 -19 57 51.3,Pyx,UGSU:,--,14.8 - 21.1 g,128.67137499999995,-19.96425
ASASSN-19ep,000-BMZ-850,08 53 17.09 -26 16 27.5,Pyx,UG:,--,17.4 - <22 g,133.32120833333332,-26.274305555555554
ASASSN-19gj,000-BNB-170,09 19 14.89 -37 08 15.3,Pyx,UG,--,16.1 - 19.6 G,139.81204166666663,-37.13758333333333
ASASSN-20bj,000-BNK-572,08 29 37.25 -32 35 28.7,Pyx,UGZ:,--,16.2 - 20.4 G,127.4052083333333,-32.59130555555556
ASASSN-20co,000-BNL-033,08 51 51.85 -23 41 57.1,Pyx,UG,--,15.8 - 20.2 V g,132.96604166666665,-23.699194444444444
ASASSN-21ce,000-BNX-057,08 54 14.09 -27 51 11.2,Pyx,UG,--,16.3 - 20.5 g,133.55870833333333,-27.85311111111111
ASASSN-22bg,000-BPG-774,09 22 45.67 -35 39 15.0,Pyx,UG:,--,16.9 - 21.0 B g,140.69029166666667,-35.65416666666667
ASASSN-22ed,000-BPH-815,08 49 58.33 -30 48 54.5,Pyx,UG,--,17.0 - <22 g,132.49304166666664,-30.81513888888889
ASASSN-22gb,000-BPJ-145,08 54 25.67 -34 15 46.4,Pyx,UGSU,--,13.8 - 21.3 V g,133.60695833333332,-34.26288888888889
ASASSN-22nd,000-BPL-784,08 31 33.16 -22 53 36.1,Pyx,UG,--,16.4 - 23.2 g,127.88816666666668,-22.893361111111112
ASASSN-23as,000-BPN-636,09 09 31.04 -26 06 26.8,Pyx,UG,--,15.9 - 22.3: g,137.3793333333333,-26.107444444444447
ASASSN-V J085208.47-315507.2,--,08 52 08.46 -31 55 07.3,Pyx,UGZ:,--,13.7 - 15.7 V,133.03525,-31.918694444444444
AT 2016sw,000-BLX-843,08 34 51.06 -27 54 31.9,Pyx,UG:,--,17.2 - <22 G,128.71274999999997,-27.90886111111111
ATLAS17bcs,--,09 22 51.10 -30 14 08.5,Pyx,UG,--,17.6 - <22 CR,140.71291666666664,-30.235694444444444
ATLAS19bdcv,000-BNJ-604,08 57 07.35 -24 41 38.3,Pyx,UG,--,17.8 - <22 CR,134.280625,-24.69397222222222
ATLAS19hzz,000-BNH-386,09 25 03.08 -32 14 32.5,Pyx,UG,--,17.0 - <22 CR,141.2628333333333,-32.24236111111111
ATLAS22bnmb,000-BPM-711,09 26 59.65 -31 13 45.9,Pyx,UG:,--,16.4 - 22.4 B g,141.74854166666665,-31.229416666666665
ATO J128.2878-17.5314,000-BPK-935,08 33 09.09 -17 31 53.1,Pyx,UGZ,--,15.9 - 18.9 g,128.287875,-17.531416666666665
CSS 150211:091017-200813,000-BLP-132,09 10 17.45 -20 08 12.5,Pyx,UGSU/IBWD,0.0206:,14.8 - 19.6 G,137.5727083333333,-20.136805555555554
DDE 116,000-BMH-522,09 18 03.62 -30 35 47.3,Pyx,NL/VY,--,15.6 - 19.4 R,139.51508333333334,-30.59647222222222
Gaia DR2 5637827617537477504,000-BMV-928,09 16 04.43 -26 53 52.3,Pyx,AM:+E,0.1405,16.7 - 19.6 G,139.0184583333333,-26.897861111111112
Gaia16agn,000-BLW-732,09 04 07.46 -35 14 28.0,Pyx,UG,--,16.8 - <19.6 G,136.03108333333333,-35.24111111111111
Gaia16atc,000-BLY-425,08 33 50.37 -29 27 49.4,Pyx,UG,--,17.8 - <22 G,128.459875,-29.46372222222222
Gaia16azw,000-BLY-954,09 16 22.72 -33 59 22.9,Pyx,UG,--,17.4 - 22.3 B G,139.09466666666668,-33.989694444444446
Gaia16bxk,000-BMC-897,08 49 31.59 -23 02 38.6,Pyx,UG:,--,17.5 - <22 G,132.38162499999999,-23.044055555555556
Gaia17bnx,000-BMJ-124,08 40 38.59 -35 51 39.7,Pyx,UG,--,16.0 - 20.8 G,130.16079166666663,-35.86102777777778
Gaia17boo,000-BMJ-152,08 53 38.50 -27 35 26.3,Pyx,UG:,--,18.7 - <22 G,133.41041666666666,-27.590638888888886
Gaia17bry,000-BMJ-560,08 46 34.23 -20 38 54.3,Pyx,SN|UG,--,18.9 - 24: g G,131.64262499999998,-20.648416666666666
Gaia17brz,000-BMJ-561,08 37 56.58 -22 47 08.8,Pyx,UG,--,17.6 - 20.8 G,129.48575,-22.785777777777778
Gaia18adf,--,08 36 43.31 -36 37 26.1,Pyx,UG:,--,17.4 - <21 G,129.18045833333332,-36.623916666666666
Gaia18bhq,000-BMR-407,08 33 38.68 -27 45 35.5,Pyx,UG,--,17.1 - 21.2 G,128.41116666666667,-27.75986111111111
Gaia18bhs,000-BMR-430,08 58 00.08 -30 09 42.8,Pyx,UG,--,16.9 - 21.9 g G,134.50033333333332,-30.16188888888889
Gaia18bhu,000-BMR-437,09 04 34.15 -36 36 11.6,Pyx,UG,--,16.8 - <22 G,136.14229166666664,-36.60322222222222
Gaia18buj,000-BMS-218,08 35 11.71 -25 30 56.7,Pyx,UG,--,18.2 - 22.3: B G,128.79879166666666,-25.51575
Gaia19ajs,000-BMZ-035,08 32 36.88 -31 13 23.1,Pyx,UG,--,18.1 - 21.1 G,128.15366666666665,-31.22308333333333
Gaia19akj,000-BMZ-166,08 33 24.69 -30 11 11.7,Pyx,UG,--,15.9 - 20.7 G,128.352875,-30.186583333333335
Gaia19any,--,09 07 42.69 -32 46 30.3,Pyx,UG:,--,18.4 - <21 G,136.92787499999997,-32.775083333333335
Gaia19bfz,000-BNC-001,09 06 46.70 -35 25 27.9,Pyx,UG,--,18.0 - <22 G,136.69458333333333,-35.424416666666666
Gaia19bgy,000-BNC-022,08 30 14.52 -29 23 14.4,Pyx,UG,--,16.9 - 21.0 G,127.56049999999999,-29.387333333333334
