Name,AUID,Coords,Const,Type,Period,Mag,ra,dec,Xmatch_obj,separation
ASASSN-19dp,000-BMZ-678,02 22 59.02 +43 39 13.1,And,AM,--,16.5 - 20.9 g,35.74591666666666,43.653638888888885,ZTF18abryuah,0.37855041059646055
BMAM-V789,000-BNS-414,02 33 58.15 +41 37 26.3,And,AM,0.0714789,18.5 - 21.7 r,38.49229166666666,41.62397222222222,ZTF18abtrvgp,0.13425622485012198
CSS 091026:002637+242916,--,00 26 37.06 +24 29 15.7,And,AM,--,17.1 - 21 CV,6.654416666666666,24.487694444444447,ZTF17aaaehby,0.30876912482879415
MGAB-V3453,--,00 35 53.37 +43 33 41.5,And,AM,--,18.2 - 20.9 r,8.972375,43.561527777777776,ZTF18abgjgiq,0.5224733104298058
MGAB-V3769,--,23 34 33.16 +40 25 50.2,And,AM,--,18.8 - 20.8 r,353.6381666666666,40.43061111111111,ZTF18abumlux,0.031041688163620965
V0358 Aqr,000-BDC-645,23 16 03.62 -05 27 08.9,Aqr,AM,0.1454516,15.7 - 20.2 g,349.0150833333333,-5.452472222222222,ZTF18absgnqy,0.1854113319169726
V0510 Aqr,--,21 46 53.35 -02 18 20.4,Aqr,AM,--,16.79 - 20.25 CV,326.72229166666665,-2.3056666666666663,ZTF19abisjkc,0.46469110574878286
SDSS J204827.91+005008.9,000-BJQ-879,20 48 27.91 +00 50 08.9,Aqr,AM,0.175,19.7 - ? s,312.11629166666665,0.8358055555555556,ZTF18abwvggo,0.3596882610423953
ASASSN-V J194125.07+152255.4,000-BMT-497,19 41 25.05 +15 22 55.3,Aql,AM,0.06485407,15.0 - 18.2 g,295.35437499999995,15.382027777777779,ZTF18aaxdlbl,0.7601020139145069
ZTF18absgzlu,--,20 11 04.09 +00 55 19.0,Aql,AM,--,17.3 - 21.0 r,302.76704166666667,0.9219444444444445,ZTF18absgzlu,0.15063703104736983
ZTF18acegnyn,--,20 00 38.69 +10 43 07.8,Aql,AM,--,16.7 - 21.9 g,300.16120833333326,10.718833333333334,ZTF18acegnyn,0.2738597118630392
CSS 071108:030945+295251,--,03 09 45.19 +29 52 51.0,Ari,AM,0.08468,14.8 - 18.9 CV,47.43829166666666,29.880833333333335,ZTF18aaadtna,0.5836818271834341
V0654 Aur,000-BFT-967,07 29 10.71 +36 58 38.6,Aur,AM,0.104,19.5 - 20.7 V,112.294625,36.97738888888889,ZTF18acywwfg,0.23867333522026804
IPHAS J052832.69+283837.6,000-BFV-054,05 28 32.68 +28 38 37.7,Aur,AM,0.055592,15.3 - 17.0 r,82.13616666666665,28.643805555555556,ZTF17aabxrtj,1.6278021381950707
MGAB-V298,000-BNG-642,06 23 48.18 +40 49 42.6,Aur,AM,--,16.2 - 21.7 g,95.95075,40.828500000000005,ZTF18aagqeuv,0.08315737783185731
SDSS J153817.35+512338.0,000-BDB-429,15 38 17.34 +51 23 38.0,Boo,AM,0.06466,17.5 - 19.1 CV,234.57224999999997,51.39388888888889,ZTF18aahmxsl,0.2642925791011209
BY Cam,000-BBK-030,05 42 48.80 +60 51 31.4,Cam,AM,0.139753,13.6 - 17.5 V,85.70333333333332,60.85872222222223,ZTF17aaarxou,0.6990092147152146
LW Cam,000-BDH-491,07 04 10.00 +62 03 27.8,Cam,AM,0.067547,17.0 - 20.0 V,106.04166666666666,62.05772222222222,ZTF17aaairkd,0.35328852245830084
BMAM-V786,000-BNS-372,04 47 42.35 +57 16 12.2,Cam,AM,--,18.8 - 20.4 r,71.92645833333333,57.27005555555556,ZTF19aabiema,0.00434670577101264
EU Cnc,000-BDH-591,08 51 27.16 +11 46 57.4,Cnc,AM,0.0871,20.4 - 21 V,132.86316666666664,11.782611111111112,,
MLS 120127:085402+133633,000-BNW-491,08 54 02.10 +13 36 32.9,Cnc,AM,--,19.3 - 22.4 CV,133.50875,13.60913888888889,,
SDSS J092122.84+203857.1,000-BJQ-838,09 21 22.84 +20 38 56.9,Cnc,AM,0.0584999,16.8 - 19.2 r',140.34516666666664,20.64913888888889,,
Gaia22dcy,000-BPK-831,07 09 11.73 -23 05 25.7,CMa,AM,--,18.5 - 20.9 G,107.298875,-23.09047222222222,ZTF18aculrrh,0.03119348216498702
CSS 100108:081031+002429,--,08 10 30.61 +00 24 28.5,CMi,AM,0.080660,17.2 - 21.3 r CV,122.62754166666664,0.4079166666666667,ZTF18acnnsmq,0.2309896867670774
Gaia19cvs,000-BND-870,00 53 57.82 +65 45 22.7,Cas,AM,0.0553590,17.8 - 20.9 G,13.490916666666664,65.75630555555556,ZTF18abcrbmk,0.2947117800864204
ZTF18abotrwy,--,02 00 38.47 +61 31 17.6,Cas,AM,--,18.8 - 21.2 r,30.160291666666662,61.52155555555555,ZTF18admxenl,0.2424043662887357
Swift J2341.0+7645,000-BPG-152,23 40 20.57 +76 42 10.4,Cep,AM,0.1008034,16.3 - 19.6 r,355.0857083333333,76.70288888888889,ZTF18abwiccd,0.3241138872252423
EQ Cet,000-BCY-729,01 28 52.54 -23 39 44.0,Cet,AM,0.064455,16.6 - 18.9 CV,22.218916666666665,-23.66222222222222,ZTF18abwpsyj,0.537631454100129
CSS 120104:010558-085437,--,01 05 58.34 -08 54 37.4,Cet,AM,--,16.7 - 20.5 CV,16.49308333333333,-8.910388888888889,ZTF18abtmpnp,0.24123238021470242
SDSS J133309.19+143706.9,000-BJQ-851,13 33 09.19 +14 37 06.9,Com,AM,0.092,18.5 - 19.8 g,203.28829166666665,14.618583333333333,ZTF18aaznyge,0.19531176434011177
AP CrB,000-BDB-457,15 54 12.40 +27 21 51.2,CrB,AM,0.105462,16.5 (0.65) R,238.55166666666665,27.364222222222224,ZTF18aaylcic,1.6960119595410947
BM CrB,000-BDB-435,15 41 04.69 +36 02 52.9,CrB,AM,0.0585,16.5 - 20.5 CV,235.26954166666664,36.048027777777776,ZTF18aagrcve,0.3573563198166687
1RXS J210201.7+335932,000-BKR-571,21 02 01.45 +33 59 29.9,Cyg,AM,0.1178,16.6 - <19.5 CR,315.5060416666667,33.99163888888889,ZTF20abragvw,0.1691309862339543
Gaia19eyo,000-BNH-549,21 19 19.39 +41 12 35.2,Cyg,AM,0.0680613,16.9 - 20.7 G,319.83079166666664,41.20977777777778,ZTF19abhpnxh,0.684437099502931
MGAB-V3397,--,21 12 51.45 +32 37 57.6,Cyg,AM,--,18.1 - 20.3 g,318.2143749999999,32.632666666666665,ZTF18adlhiaq,0.3218617488311642
ZTF18aazucqe,--,19 31 32.58 +52 09 22.7,Cyg,AM,0.0612348,18.1 - 21.8 g,292.8857499999999,52.156305555555555,ZTF18aazucqe,0.24259914684751538
MGAB-V539,--,20 48 44.71 +19 30 19.5,Del,AM,0.06486074,18.3 - 21.9 g,312.18629166666665,19.505416666666665,ZTF18abnbluc,0.2575950405614726
MQ Dra,000-BDB-461,15 53 31.12 +55 16 14.5,Dra,AM,0.1829804,17.7 - 18.8 V,238.37966666666662,55.270694444444445,ZTF18aajqtnw,1.0622961179673285
MT Dra,000-BFR-392,18 46 58.80 +55 38 28.8,Dra,AM,0.0893869,16 - 20 R,281.74499999999995,55.641333333333336,ZTF18aapovzp,0.054809874279193496
